hour,mean_demand,median_demand
0,534.5120370370371,476.5
1,383.0282407407407,314.5
2,280.84444444444443,202.0
3,213.93101851851853,142.0
4,172.20138888888889,126.0
5,151.05833333333334,116.0
6,139.55185185185186,107.5
7,137.8347222222222,103.0
8,148.85416666666666,109.0
9,214.5587962962963,143.0
10,392.4023148148148,275.0
11,618.5907407407408,529.0
12,677.3898148148148,585.5
13,538.5268518518518,467.0
14,361.524537037037,312.5
15,268.19351851851854,250.0
16,250.48611111111111,238.0
17,258.2638888888889,239.0
18,258.7708333333333,237.0
19,270.2388888888889,242.0
20,355.1138888888889,300.0
21,539.7023148148148,384.0
22,701.0805555555555,522.0
23,689.8898148148148,592.0
