station_id,rows,null_demand,min_demand,max_demand,mean_demand,median_demand,station_name,corridor,missing_periods,time_gaps
02300,4320,0,29,1472,293.96921296296296,158.0,Calle 100 - Marketmedios,Autonorte,0,0
03000,4320,0,48,1252,258.4259259259259,153.0,Portal Suba,Suba,0,0
05000,4320,0,59,1944,342.0578703703704,201.0,Portal Américas,Américas,0,0
05100,4320,0,159,2065,591.0625,392.0,Banderas,Américas,0,0
06000,4320,0,127,1789,510.94375,340.5,Portal El Dorado – C.C. NUESTRO BOGOTÁ,Calle 26,0,0
06111,4320,0,14,835,238.89143518518517,207.0,Universidades – CityU,Calle 26,0,0
07105,4320,0,42,1313,272.5898148148148,213.5,Movistar Arena,NQS,0,0
07107,4320,0,17,982,281.02916666666664,248.0,Universidad Nacional,NQS,0,0
07111,4320,0,159,2284,683.7166666666667,452.0,Ricaurte - NQS,NQS,0,0
09000,4320,0,33,1071,217.86828703703705,128.0,Portal Usme,Caracas,0,0
09122,4320,0,22,1249,249.79930555555555,134.0,Calle 72,Caracas,0,0
10009,4320,0,50,1434,337.92060185185187,266.0,Museo Nacional,Carrera 7-10,0,0
